afstemningsarea_id	opstillingskreds_id	afstemningsarea_navn	afstemningssted	stemmeberrettigede	afgivne	gyldige	storkreds_id	afstemningsarea_id07	afstemningsarea_navn07
1	84	1. Østerbro	1. Østerbro\n Idrætshuset\n Gunnar Nu Hansens Plads 7	13115	11855	11736	9	1599	1. Østerbro
2	84	1. Nord	1. Nord\n Strandvejsskolen\n Sionsgade 1	5509	4848	4818	9	1600	1. Nord
3	84	1. Syd	1. Syd\n Remisen\n Blegdamsvej 132	6475	5893	5841	9	1601	1. Syd
4	84	1. Øst	1. Øst\n Skolen på Kastelsvej\n Kastelsvej 58	7262	6572	6526	9	1602	1. Øst
5	84	1. Vest	1. Vest\n Klostervængets skole\n Biskop Krags Vænge 7	10405	9025	8942	9	1603	1. Vest
6	84	1. Nordvest	1. Nordvest\n Kildevældsskolen\n Bellmansgade 5A	9027	7901	7809	9	1604	1. Nordvest
7	92	2. Sundbyvester	2. Sundbyvester\n Højdevangens Skole\n Grønløkkevej 1	12775	10486	10345	9	1642	2. Sundbyvester
8	92	2. Nord	2. Nord\n Amager Fælled Skole\n Sundholmsvej 2A	11895	9934	9816	9	1643	2. Nord
9	92	2. Syd	2. Syd\n Dyvekeskolen\n Remisevej 6	7872	6730	6675	9	1644	2. Syd
10	92	2. Vest	2. Vest\n Skolen på Islands Brygge\n Artillerivej 57	8705	7855	7791	9	1645	2. Vest
11	86	3. Indre By	3. Indre By\n Rådhushallen\n Rådhuset	11705	8473	8398	9	1612	3. Indre By
12	86	3. Nord	3. Nord\n Øster Farimagsgades Skole\n Øster Farimagsgade 40	6116	5602	5555	9	1613	3. Nord
13	86	3. Syd	3. Syd\n Christianshavns Skole\n Prinsessegade 45-47	7891	7087	7033	9	1614	3. Syd
14	86	3. Øst	3. Øst\n Nyboder Skole\n Øster Voldgade 15	6985	6165	6121	9	1615	3. Øst
15	86	3. Vest	3. Vest\n Sølvgades Skole\n Sølvgade 14	6581	5918	5868	9	1616	3. Vest
16	91	4. Sundbyøster	4. Sundbyøster\n Lergravsparkens Skole\n Wittenberggade 2	8668	7116	7026	9	1638	4. Sundbyøster
17	91	4. Nord	4. Nord\n Sønderbro Skole\n Lybækgade 20	12972	11009	10894	9	1639	4. Nord
18	91	4. Syd	4. Syd\n Gerbrandskolen\n Gerbrandsvej 9	7934	6767	6696	9	1640	4. Syd
19	91	4. Øst	4. Øst\n Skolen ved Sundet\n Samosvej 50	7650	6745	6682	9	1641	4. Øst
20	85	5. Nørrebro	5. Nørrebro\n Guldberg Skole (Sjællandsgade)\n Sjællandsgade 10	9812	8432	8355	9	1605	5. Nørrebro
21	85	5. Nord	5. Nord\n Rådmandsgades Skole\n Rådmandsgade 22	12648	10749	10562	9	1606	5. Nord
22	85	5. Syd	5. Syd\n Blågårdsskolen\n Hans Tavsens Gade 4	5699	4886	4839	9	1607	5. Syd
