Afstemningsområde	Opstillingskreds	Storkreds	Landsdel	Filnavn	Stemmeberettigede	IAltGyldigeStemmer	BlankeStemmer	AndreUgyldigeStemmer	IAltAfgivneStemmer	A	B	C	F	I	K	O	V	Ø	Å	UdenForParti
"1. Østerbro"	"1. Østerbro"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494635.xml"	13452	11747	62	38	11847	2538	1420	390	747	1430	50	775	1427	1636	1324	10
"1. Nord"	"1. Østerbro"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494636.xml"	5695	4846	33	11	4890	1077	520	234	240	591	12	505	669	551	443	4
"1. Syd"	"1. Østerbro"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494637.xml"	14173	12567	78	32	12677	2720	1519	416	817	1446	50	790	1448	1797	1545	19
"1. Vest"	"1. Østerbro"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494638.xml"	10805	9015	76	35	9126	2186	866	279	622	829	50	933	937	1347	952	14
"1. Nordvest"	"1. Østerbro"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494639.xml"	9509	8119	63	26	8208	2113	757	222	495	819	23	847	858	1112	860	13
"2. Sundbyvester"	"2. Sundbyvester"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494640.xml"	12822	10003	99	71	10173	2623	640	220	645	578	45	1789	932	1693	813	25
"2. Nord"	"2. Sundbyvester"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494641.xml"	12499	9951	86	42	10079	2241	868	185	738	759	47	1146	880	1847	1212	28
"2. Syd"	"2. Sundbyvester"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494642.xml"	9229	7764	68	22	7854	1626	777	195	453	1016	33	776	934	1001	937	16
"2. Vest"	"2. Sundbyvester"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494643.xml"	9926	8780	74	20	8874	1733	1055	286	482	1187	13	689	1084	1185	1048	18
"3. Indre By"	"3. Indre By"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494644.xml"	14012	10722	86	40	10848	1948	1372	367	653	1309	31	531	1090	1802	1596	23
"3. Nord"	"3. Indre By"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494645.xml"	6234	5620	37	15	5672	1154	732	240	381	666	8	339	704	748	644	4
"3. Syd"	"3. Indre By"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494646.xml"	9107	7966	46	24	8036	1572	858	165	538	673	14	456	671	1752	1252	15
"3. Øst"	"3. Indre By"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494647.xml"	11352	9711	52	46	9809	1888	1082	488	513	1492	18	618	1387	1193	1018	14
"4. Sundbyøster"	"4. Sundbyøster"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494648.xml"	8491	6737	73	42	6852	1548	547	143	461	533	21	983	625	1144	715	17
"4. Nord"	"4. Sundbyøster"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494649.xml"	14371	11663	117	47	11827	2424	1004	249	754	938	56	1389	1108	2192	1510	39
"4. Syd"	"4. Sundbyøster"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494650.xml"	8164	6727	68	24	6819	1613	475	161	442	515	31	1086	686	1051	645	22
"4. Øst"	"4. Sundbyøster"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494651.xml"	8720	7386	69	23	7478	1754	665	202	499	697	36	974	856	999	692	12
"5. Nørrebro"	"5. Nørrebro"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494652.xml"	10225	8543	70	40	8653	1553	933	147	669	492	31	503	448	2227	1513	27
"5. Nord"	"5. Nørrebro"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494653.xml"	13678	11012	94	34	11140	1871	1165	145	822	725	36	578	705	2968	1957	40
"5. Syd"	"5. Nørrebro"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494654.xml"	5857	4842	26	12	4880	809	490	87	366	277	20	260	283	1451	784	15
"5. Øst"	"5. Nørrebro"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494655.xml"	5397	4669	31	22	4722	847	643	93	288	385	6	172	315	1045	865	10
"5. Vest"	"5. Nørrebro"	"Københavns Storkreds"	"Hovedstaden"	"http://www.dst.dk/valg/Valg1487635/xml/fintal_1494656.xml"	6962	5955	42	21	6018	1057	663	62	494	319	16	368	312	1628	1018	18
